Data Size,Search Count,Time (ns)
286000,28600,10862300
287000,28700,11228400
288000,28800,8043300
289000,28900,10033200
290000,29000,8634900
291000,29100,11305900
292000,29200,11026600
293000,29300,9327000
294000,29400,8403300
295000,29500,8424200
296000,29600,12245400
297000,29700,10742100
298000,29800,11223800
299000,29900,11786600
300000,30000,11268600
301000,30100,9293800
302000,30200,10654500
303000,30300,11039700
304000,30400,12077100
305000,30500,9055100
306000,30600,15444700
307000,30700,13975600
308000,30800,10415500
309000,30900,11296400
310000,31000,12131500
311000,31100,9717000
312000,31200,12031400
313000,31300,12160700
314000,31400,11572000
315000,31500,10767700
316000,31600,11932000
317000,31700,12032300
318000,31800,11944000
319000,31900,11591600
320000,32000,9200900
321000,32100,12170900
322000,32200,9195200
323000,32300,12968200
324000,32400,8624800
325000,32500,10184600
326000,32600,9987400
327000,32700,10306100
328000,32800,9985600
329000,32900,13226700
330000,33000,10448700
331000,33100,14203400
332000,33200,12848000
333000,33300,7289900
334000,33400,16957900
335000,33500,17576000
336000,33600,12775000
337000,33700,13664100
338000,33800,10762200
339000,33900,14699900
340000,34000,12913200
341000,34100,20502800
342000,34200,7997300
343000,34300,10470600
344000,34400,13189700
345000,34500,13772400
346000,34600,16815000
347000,34700,13595500
348000,34800,16507200
349000,34900,12846100
350000,35000,17027100
351000,35100,11538200
352000,35200,15566000
353000,35300,18443900
354000,35400,13467700
355000,35500,13832800
356000,35600,15530200
357000,35700,14492100
358000,35800,15385200
359000,35900,7727500
360000,36000,16404100
361000,36100,13239500
362000,36200,15370900
363000,36300,16280700
364000,36400,14919500
365000,36500,14265700
366000,36600,13294300
367000,36700,9240400
368000,36800,16571100
369000,36900,14985800
370000,37000,18497100
371000,37100,14317000
372000,37200,14226600
373000,37300,14975500
374000,37400,14828800
375000,37500,11145800
376000,37600,14851000
377000,37700,15466500
378000,37800,15771200
379000,37900,15257700
380000,38000,15785000
381000,38100,15929700
382000,38200,17523600
383000,38300,12686800
384000,38400,16612700
385000,38500,16263700
386000,38600,17742000
387000,38700,15451700
388000,38800,15733100
389000,38900,15570700
390000,39000,16392900
391000,39100,13350600
392000,39200,16384900
393000,39300,16257600
394000,39400,15642700
395000,39500,16035900
396000,39600,17038800
397000,39700,15914600
398000,39800,8205000
399000,39900,15473900
400000,40000,17744400
401000,40100,15702400
402000,40200,16275200
403000,40300,16079000
404000,40400,16003800
405000,40500,16314500
406000,40600,14257400
407000,40700,17760700
408000,40800,23073900
409000,40900,19083200
410000,41000,16784600
411000,41100,19145800
412000,41200,16837500
413000,41300,11667800
414000,41400,17119400
415000,41500,16220400
416000,41600,18369700
417000,41700,17250800
418000,41800,16995200
419000,41900,20070400
420000,42000,11957200
421000,42100,16840000
422000,42200,17592400
423000,42300,21723200
424000,42400,17795000
425000,42500,19321000
426000,42600,17055300
427000,42700,10427300
428000,42800,18637800
429000,42900,17713400
430000,43000,18181700
431000,43100,17570700
432000,43200,17764400
433000,43300,18744000
434000,43400,14106500
435000,43500,17891600
436000,43600,21174700
437000,43700,18326200
438000,43800,19594300
439000,43900,18914500
440000,44000,20045700
